date,RPOIL,INFL,GDP
01/01/2000,12.90242178,0.73310214,0.286187787
01/04/2000,5.739449153,0.549077347,1.871229549
01/07/2000,5.600499789,0.64106306,0.127574384
01/10/2000,-17.96665217,0.534124458,0.5309702
01/01/2001,-5.030546527,0.649235389,-0.286762294
01/04/2001,0.627256011,0.685673133,0.529505481
01/07/2001,-6.760133349,0.32560304,-0.304669167
01/10/2001,-29.49389437,0.31267673,0.24464858
01/01/2002,23.08756854,0.286849008,0.935730396
01/04/2002,3.984334021,0.421664959,0.544907759
01/07/2002,14.62520519,0.442192392,0.479627764
01/10/2002,-1.374001144,0.527829231,0.048218354
01/01/2003,12.51250734,0.623707484,0.505373655
01/04/2003,-9.118070729,0.305775216,0.941283307
01/07/2003,-8.788372483,0.547820186,1.675664364
01/10/2003,12.27531698,0.515089559,1.127650095
01/01/2004,12.55320551,0.846579166,0.595970846
01/04/2004,2.572369462,0.797834495,0.762276725
01/07/2004,18.26436483,0.679786343,0.874046678
01/10/2004,-6.587135303,0.716273998,0.839626476
01/01/2005,21.68905021,0.897263418,1.088020654
01/04/2005,2.839079771,0.68846333,0.544032837
01/07/2005,14.37069531,0.942751816,0.812845092
01/10/2005,-10.60919528,0.77728279,0.551750877
01/01/2006,4.924728676,0.749972757,1.206212526
01/04/2006,11.23331228,0.823705153,0.310605342
01/07/2006,-11.21773169,0.691074649,0.08746409
01/10/2006,-3.281563645,0.358400786,0.77802593
01/01/2007,-3.503164173,1.104811188,0.065250548
01/04/2007,10.24711172,0.572553132,0.767529016
01/07/2007,16.60233723,0.329662164,0.67140477
01/10/2007,13.34522846,0.424594332,0.364378735
01/01/2008,13.48406669,0.558936526,-0.673781472
01/04/2008,23.36513253,0.438643847,0.494373478
01/07/2008,-26.06882121,0.67998348,-0.496360694
01/10/2008,-93.13149446,0.194579909,-2.174610639
01/01/2009,15.42425924,0.248191235,-1.399587094
01/04/2009,37.46895592,-0.156048407,-0.105656378
01/07/2009,-0.308219473,-0.00800905,0.317412467
01/10/2009,6.440081956,0.295908484,0.95151192
01/01/2010,8.600809511,0.328868988,0.39413317
01/04/2010,-7.98597866,0.459597496,0.956903412
01/07/2010,-0.50763695,0.454537254,0.684993306
01/10/2010,16.23985227,0.507425614,0.692239479
01/01/2011,14.10860737,0.397451356,-0.324745058
01/04/2011,-7.330640084,0.652457787,0.784462782
01/07/2011,-12.36298884,0.606751589,0.338458951
01/10/2011,13.97017983,0.12630586,1.187951545
01/01/2012,6.952252167,0.494046507,0.910555785
01/04/2012,-25.78762486,0.435309494,0.299300102
01/07/2012,13.35638094,0.565457298,0.686755394
01/10/2012,-7.354788447,0.279640915,0.036320206
01/01/2013,4.961788597,0.334540131,0.284800371
01/04/2013,2.751370299,0.16119989,0.612400508
